Aruba,ABW,"Population, total",SP.POP.TOTL,54211,55438,56225,56695
Afghanistan,AFG,"Population, total",SP.POP.TOTL,8996351,9166764,9345868,9533954
Angola,AGO,"Population, total",SP.POP.TOTL,5643182,5753024,5866061,5980417
Albania,ALB,"Population, total",SP.POP.TOTL,1608800,1659800,1711319,1762621
Andorra,AND,"Population, total",SP.POP.TOTL,13411,14375,15370,16412
Arab World,ARB,"Population, total",SP.POP.TOTL,92490932,95044497,97682294,100411076
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,92634,101078,112472,125566
Argentina,ARG,"Population, total",SP.POP.TOTL,20619075,20953077,21287682,21621840
Armenia,ARM,"Population, total",SP.POP.TOTL,1874120,1941491,2009526,2077575
American Samoa,ASM,"Population, total",SP.POP.TOTL,20013,20486,21117,21882
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,55339,56144,57144,58294
Australia,AUS,"Population, total",SP.POP.TOTL,10276477,10483000,10742000,10950000
Austria,AUT,"Population, total",SP.POP.TOTL,7047539,7086299,7129864,7175811
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,3895396,4030320,4171425,4315128
Burundi,BDI,"Population, total",SP.POP.TOTL,2786106,2839666,2893669,2949926
Belgium,BEL,"Population, total",SP.POP.TOTL,9153489,9183948,9220578,9289770
Benin,BEN,"Population, total",SP.POP.TOTL,2431622,2465867,2502896,2542859
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,4829288,4894580,4960326,5027821
Bangladesh,BGD,"Population, total",SP.POP.TOTL,48199747,49592802,51030137,52532417
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7867374,7943118,8012946,8078145
Bahrain,BHR,"Population, total",SP.POP.TOTL,162427,167894,173144,178140
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,109528,115108,121083,127333
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3225668,3288602,3353226,3417574
Belarus,BLR,"Population, total",SP.POP.TOTL,8198000,8271216,8351928,8437232
Belize,BLZ,"Population, total",SP.POP.TOTL,92064,94703,97384,100164
Bermuda,BMU,"Population, total",SP.POP.TOTL,44400,45500,46600,47700
Bolivia,BOL,"Population, total",SP.POP.TOTL,3693449,3764813,3838097,3913395
Brazil,BRA,"Population, total",SP.POP.TOTL,72207554,74351763,76573248,78854019
Barbados,BRB,"Population, total",SP.POP.TOTL,230939,231678,232586,233587
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,81745,85596,89516,93576
Bhutan,BTN,"Population, total",SP.POP.TOTL,223288,228918,234706,240778
Botswana,BWA,"Population, total",SP.POP.TOTL,524552,537249,550840,565353
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1503508,1529227,1556661,1585763
Canada,CAN,"Population, total",SP.POP.TOTL,17909009,18271000,18614000,18964000
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,91401583,92237118,93014890,93845749
Switzerland,CHE,"Population, total",SP.POP.TOTL,5327827,5434294,5573815,5694247
Channel Islands,CHI,"Population, total",SP.POP.TOTL,109420,110399,111457,112595
Chile,CHL,"Population, total",SP.POP.TOTL,7716625,7890156,8067136,8247415
China,CHN,"Population, total",SP.POP.TOTL,667070000,660330000,665770000,682335000
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,3558988,3694205,3841071,3996941
Cameroon,CMR,"Population, total",SP.POP.TOTL,5176268,5285231,5399922,5520332
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,15248251,15637733,16041263,16461930
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,1037220,1064111,1092292,1121735
Colombia,COL,"Population, total",SP.POP.TOTL,16480383,16982315,17500171,18033550
Comoros,COM,"Population, total",SP.POP.TOTL,191121,194139,197198,200372
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,202310,205956,210867,216908
Costa Rica,CRI,"Population, total",SP.POP.TOTL,1333040,1381917,1432585,1484510
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,4198307,4277802,4357746,4436804
Cuba,CUB,"Population, total",SP.POP.TOTL,7141135,7289826,7450402,7618354
Curacao,CUW,"Population, total",SP.POP.TOTL,124826,126125,128414,130860
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,7865,8026,8146,8227
Cyprus,CYP,"Population, total",SP.POP.TOTL,572930,576395,577691,577913
Czech Republic,CZE,"Population, total",SP.POP.TOTL,9602006,9586651,9624660,9670685
